id,Dien_tich,So_phong,So_tang,Mat_tien_m,Huong_nha,Vi_tri,Noi_dung_mo_ta,Gia_ty_vnd
46,263.4,8,3,4.4,Đông,Huyen_Hoc_Mon,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nở hậu.",11.72
47,170.8,6,1,4.1,Đông Nam,Quan_1,"Nhà phố biệt lập, nội thất nhập khẩu, hầm xe 2 ô tô, sổ hồng chính chủ, nội thất cao cấp.",80.24
48,50.3,7,1,5.6,Đông Nam,Quan_7,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý.",8.55
49,133.9,6,2,4.8,Bắc,Huyen_Nha_Be,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",6.92
50,81.5,8,2,3.3,Đông,Quan_6,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",7.65
51,62.3,1,3,3.1,Nam,Huyen_Binh_Chanh,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý.",2.5
52,309.8,5,2,4.7,Tây Bắc,Quan_6,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, nở hậu, sổ hồng chính chủ.",31.51
53,250.5,4,5,9.1,Đông,Huyen_Binh_Chanh,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay.",10.74
54,209.5,5,1,5.9,Đông Nam,Quan_7,"Bán nhà mặt tiền đường lớn, vị trí đắc địa kinh doanh sầm uất, nở hậu, sổ hồng chính chủ, nội thất cao cấp.",61.09
55,46.0,4,1,5.5,Đông Bắc,Quan_Go_Vap,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay.",4.02
56,46.1,3,1,5.7,Nam,Quan_5,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",8.79
57,154.1,1,3,5.2,Tây Nam,Quan_Binh_Tan,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện, nở hậu, sổ hồng chính chủ.",13.01
58,195.0,3,2,6.3,Bắc,Quan_10,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, sổ đỏ.",31.17
59,222.7,3,2,8.8,Nam,Quan_12,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, sổ hồng chính chủ.",15.22
60,280.1,1,1,4.3,Bắc,Quan_Tan_Binh,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu, sổ hồng chính chủ.",42.36
61,284.8,8,1,7.4,Đông Nam,Quan_Go_Vap,"Biệt thự sân vườn rộng, thiết kế châu Âu sang trọng, sổ hồng lâu dài, nở hậu, nội thất cao cấp.",41.47
62,161.1,2,1,3.6,Tây Bắc,Quan_4,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, sổ đỏ.",27.54
63,81.2,3,3,5.6,Đông,Quan_Tan_Binh,"Bán nhà hẻm xe hơi 5m, nở hậu, sổ hồng chính chủ, sổ đỏ.",12.56
64,280.3,8,1,3.0,Đông,Quan_Binh_Tan,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát.",23.04
65,37.9,8,1,5.6,Đông,Quan_Phu_Nhuan,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát.",7.86
66,282.9,8,2,5.0,Đông Bắc,Quan_4,"Biệt thự nghỉ dưỡng, hồ bơi riêng, sân thượng view thoáng, sổ hồng, nở hậu, sổ đỏ, nội thất cao cấp.",68.01
67,216.7,6,4,8.2,Đông,Quan_Tan_Binh,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, sổ hồng chính chủ.",28.03
68,245.3,7,1,4.4,Đông,Quan_8,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, nở hậu, sổ hồng chính chủ.",21.77
69,146.6,3,4,4.2,Tây Bắc,Quan_Thu_Duc,"Bán gấp nhà mặt tiền, hướng Đông Nam đón gió, nội thất hoàn thiện, sổ hồng chính chủ, nội thất cao cấp.",20.73
70,100.3,1,1,6.7,Tây,Quan_Go_Vap,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nội thất cao cấp.",10.69
71,83.8,7,5,3.3,Đông Nam,Quan_11,"Hẻm xe hơi rộng rãi, nở hậu, phong thủy tốt, gần tiện ích, sổ hồng chính chủ.",13.38
72,280.2,1,2,12.0,Đông,Huyen_Nha_Be,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",10.82
73,210.3,1,5,3.9,Đông Bắc,Quan_5,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nội thất cao cấp.",41.3
74,181.6,5,3,3.2,Đông,Quan_Binh_Thanh,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",27.65
75,278.7,7,3,3.2,Bắc,Quan_8,"Hẻm xe hơi rộng rãi, nở hậu, phong thủy tốt, gần tiện ích, sổ đỏ.",29.96
76,57.0,4,1,4.2,Tây Bắc,Quan_Binh_Thanh,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện, sổ đỏ.",8.62
77,59.4,1,2,6.4,Đông Nam,Quan_Phu_Nhuan,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, nở hậu, sổ hồng chính chủ.",13.66
78,244.0,3,1,6.0,Bắc,Huyen_Nha_Be,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện.",11.27
79,54.3,6,2,4.4,Đông,Quan_Binh_Thanh,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",8.39
80,311.5,1,1,3.5,Tây Nam,Huyen_Hoc_Mon,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay, nội thất cao cấp.",13.49
81,25.8,3,2,4.0,Đông Nam,Huyen_Hoc_Mon,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, sổ đỏ, nội thất cao cấp.",1.36
82,62.4,7,2,3.3,Đông Nam,Quan_2,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",15.21
83,114.0,1,1,3.5,Đông Nam,Quan_Thu_Duc,"Mặt tiền kinh doanh, kết hợp ở trên cho thuê dưới, thu nhập ổn định, sổ hồng chính chủ, nội thất cao cấp.",14.5
84,44.4,5,3,8.4,Nam,Quan_5,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay.",8.38
85,237.6,4,3,6.4,Tây,Huyen_Binh_Chanh,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện, sổ hồng chính chủ.",9.38
86,227.6,8,2,5.2,Tây,Quan_5,"Biệt thự nghỉ dưỡng, hồ bơi riêng, sân thượng view thoáng, sổ hồng, nở hậu, sổ đỏ, nội thất cao cấp.",63.28
87,146.2,7,2,3.4,Đông,Quan_4,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát.",20.32
88,274.4,6,1,9.5,Tây,Quan_Binh_Thanh,"Villa cao cấp, sổ hồng lâu dài, vị trí trung tâm, đẳng cấp, nở hậu, nội thất cao cấp.",66.52
89,33.5,5,3,5.6,Đông Nam,Quan_10,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay, nở hậu.",7.95
90,88.5,7,5,12.0,Nam,Quan_Thu_Duc,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay.",9.19
91,105.3,7,2,6.4,Tây,Quan_3,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, sổ hồng chính chủ, nội thất cao cấp.",27.51
92,141.6,1,3,10.9,Tây Nam,Quan_8,"Nhà mặt tiền, thuận tiện buôn bán, nội thất cao cấp, sổ hồng, nở hậu.",21.38
93,232.6,6,1,4.9,Tây,Huyen_Binh_Chanh,"Biệt thự mini, nội thất cao cấp, hồ bơi riêng, an ninh 24/7, nở hậu, sổ đỏ.",16.7
94,144.5,6,3,4.8,Tây Nam,Quan_4,"Mặt tiền đường rộng, ô tô vào tận nhà, sổ hồng chính chủ, nội thất cao cấp.",32.44
95,48.2,5,2,3.9,Nam,Quan_Thu_Duc,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, sổ đỏ.",5.64
96,94.7,3,1,3.7,Bắc,Quan_5,"Hẻm xe hơi rộng rãi, nở hậu, phong thủy tốt, gần tiện ích, sổ hồng chính chủ, nội thất cao cấp.",25.64
97,214.7,6,3,11.3,Đông,Huyen_Nha_Be,"Hẻm xe hơi đẹp, sổ hồng riêng, gần trường học và chợ.",12.35
98,41.8,5,1,4.0,Đông Nam,Quan_2,"Bán gấp nhà mặt tiền, hướng Đông Nam đón gió, nội thất hoàn thiện, nội thất cao cấp.",16.38
99,157.7,4,4,4.4,Đông Bắc,Quan_2,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nở hậu, nội thất cao cấp.",46.25
100,179.2,3,1,6.4,Nam,Quan_Thu_Duc,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",14.11
101,108.8,3,3,9.6,Bắc,Quan_Tan_Binh,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện, sổ hồng chính chủ.",13.67
102,136.1,6,2,5.3,Tây Bắc,Huyen_Binh_Chanh,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện.",5.89
103,78.2,4,3,6.1,Đông Bắc,Quan_11,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nội thất cao cấp.",12.24
104,220.3,3,5,6.8,Đông,Quan_2,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, sổ hồng chính chủ.",61.23
105,205.1,8,1,5.2,Tây Bắc,Quan_Go_Vap,"Villa cao cấp, sổ hồng lâu dài, vị trí trung tâm, đẳng cấp, nội thất cao cấp.",30.68
106,254.5,7,3,10.1,Tây Nam,Quan_11,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nở hậu.",33.02
107,105.5,3,3,4.6,Bắc,Quan_6,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh.",11.74
108,135.6,1,3,8.0,Đông,Quan_3,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, nở hậu, sổ đỏ, nội thất cao cấp.",43.37
109,30.6,4,1,4.0,Tây,Quan_3,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nở hậu.",8.15
110,57.7,8,5,4.7,Nam,Quan_3,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, nở hậu, sổ hồng chính chủ, nội thất cao cấp.",21.55
111,45.0,1,2,8.3,Đông,Quan_Binh_Thanh,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, nở hậu, nội thất cao cấp.",7.47
112,64.4,6,4,4.5,Tây Bắc,Quan_12,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện, sổ hồng chính chủ.",5.89
113,35.9,4,3,5.3,Nam,Quan_Go_Vap,"Mặt tiền đường rộng, ô tô vào tận nhà, sổ hồng chính chủ, nở hậu, nội thất cao cấp.",6.6
114,279.3,1,2,7.4,Nam,Quan_Binh_Thanh,"Hẻm xe hơi rộng rãi, nở hậu, phong thủy tốt, gần tiện ích, sổ hồng chính chủ.",45.96
115,133.4,5,4,7.8,Đông Bắc,Quan_Binh_Tan,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, sổ hồng chính chủ.",9.16
116,202.8,7,2,6.1,Bắc,Quan_Go_Vap,"Biệt thự nghỉ dưỡng, hồ bơi riêng, sân thượng view thoáng, sổ hồng, nội thất cao cấp.",33.05
117,47.1,7,4,10.0,Tây Bắc,Quan_2,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu.",10.9
118,305.1,1,3,4.7,Đông Nam,Quan_Tan_Binh,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay.",34.78
119,32.6,3,4,3.9,Tây Bắc,Quan_4,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu, sổ hồng chính chủ.",5.32
120,276.6,8,3,6.4,Tây Nam,Quan_5,"Nhà phố biệt lập, nội thất nhập khẩu, hầm xe 2 ô tô, nội thất cao cấp.",74.18
121,276.2,3,3,5.2,Bắc,Quan_11,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu, sổ hồng chính chủ, nội thất cao cấp.",37.22
122,44.4,7,2,6.6,Đông Bắc,Quan_3,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",10.83
123,126.6,3,5,4.7,Bắc,Quan_Thu_Duc,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay.",12.63
124,304.5,5,3,7.5,Tây Bắc,Quan_Binh_Thanh,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, nở hậu, sổ hồng chính chủ.",41.51
125,237.6,6,2,6.6,Đông Nam,Huyen_Hoc_Mon,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, nở hậu, sổ hồng chính chủ.",8.95
126,110.5,5,3,5.9,Đông Bắc,Huyen_Binh_Chanh,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu, sổ đỏ, nội thất cao cấp.",5.7
127,241.6,6,1,6.2,Đông Nam,Quan_12,"Mặt tiền đường rộng, ô tô vào tận nhà, sổ hồng chính chủ, nội thất cao cấp.",28.71
128,279.9,7,2,6.6,Bắc,Quan_Tan_Binh,"Biệt thự phong cách Địa Trung Hải, nở hậu sinh tài lộc, nội thất cao cấp, sổ đỏ.",58.35
129,172.1,5,3,3.5,Nam,Quan_Go_Vap,"Nhà mặt tiền, thuận tiện buôn bán, nội thất cao cấp, sổ hồng.",26.58
130,109.3,1,2,4.7,Tây,Quan_Binh_Tan,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư.",6.63
131,46.7,8,3,4.6,Đông Nam,Quan_11,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, nở hậu.",8.64
132,83.7,7,2,5.7,Tây,Quan_5,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, sổ hồng chính chủ.",20.25
133,72.9,5,1,6.1,Tây Nam,Quan_12,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, sổ hồng chính chủ.",7.67
134,115.8,1,2,6.0,Nam,Huyen_Nha_Be,"Bán nhà hẻm xe hơi 5m, nở hậu, sổ hồng chính chủ.",6.3
135,253.5,7,3,6.9,Đông Nam,Huyen_Hoc_Mon,"Biệt thự mini, nội thất cao cấp, hồ bơi riêng, an ninh 24/7, sổ đỏ.",13.52
136,146.1,8,3,2.9,Đông,Quan_7,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nở hậu.",30.35
137,126.0,6,3,3.7,Đông,Huyen_Binh_Chanh,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát, nở hậu.",7.05
138,232.9,8,3,11.3,Tây Nam,Quan_11,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu, sổ đỏ.",32.35
139,110.7,5,3,4.0,Bắc,Quan_5,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay.",22.66
140,206.6,4,2,3.8,Tây,Quan_4,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, sổ hồng chính chủ, nội thất cao cấp.",33.2
141,145.0,8,4,6.0,Đông,Quan_6,"Bán nhà hẻm xe hơi 5m, nở hậu, sổ hồng chính chủ, sổ đỏ.",18.76
142,294.4,3,2,5.7,Bắc,Quan_2,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát, sổ đỏ.",69.46
143,27.7,2,2,4.6,Bắc,Quan_2,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, sổ hồng chính chủ.",7.4
144,240.7,5,4,3.6,Bắc,Quan_6,"Mặt tiền kinh doanh, kết hợp ở trên cho thuê dưới, thu nhập ổn định, sổ hồng chính chủ, nội thất cao cấp.",44.19
145,121.7,7,4,3.7,Đông Bắc,Quan_Thu_Duc,"Hẻm xe hơi đẹp, sổ hồng riêng, gần trường học và chợ.",12.39
146,238.3,1,3,3.6,Nam,Huyen_Nha_Be,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, sổ hồng chính chủ.",13.61
147,228.6,5,1,4.1,Tây Bắc,Quan_11,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",27.6
148,249.7,2,4,5.8,Tây,Quan_7,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, sổ hồng chính chủ, nội thất cao cấp.",50.55
149,59.3,4,3,7.6,Đông Nam,Quan_Go_Vap,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu, sổ đỏ, nội thất cao cấp.",6.95
150,100.1,1,5,8.7,Bắc,Quan_Tan_Binh,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ, nội thất cao cấp.",14.67
151,250.9,7,1,6.5,Đông Nam,Quan_5,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, nở hậu.",47.99
152,181.0,4,4,3.0,Đông,Quan_Tan_Binh,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư.",22.93
153,80.6,2,1,7.1,Tây Nam,Quan_10,"Bán nhà mặt tiền đường lớn, vị trí đắc địa kinh doanh sầm uất, nội thất cao cấp.",19.31
154,97.2,1,3,8.9,Tây Nam,Quan_2,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay, nội thất cao cấp.",30.35
155,94.9,3,1,6.6,Tây Bắc,Quan_12,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, nở hậu, sổ hồng chính chủ.",9.36
156,302.8,7,4,4.3,Nam,Quan_Binh_Thanh,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, sổ hồng chính chủ.",38.68
157,294.8,7,4,4.1,Đông Bắc,Quan_Go_Vap,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, nở hậu, sổ hồng chính chủ.",35.03
158,202.9,2,3,3.9,Tây Bắc,Huyen_Hoc_Mon,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",6.6
159,308.8,2,2,5.2,Tây Bắc,Quan_7,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát.",48.53
160,216.4,5,1,8.7,Đông Nam,Huyen_Binh_Chanh,"Biệt thự mini, nội thất cao cấp, hồ bơi riêng, an ninh 24/7, sổ hồng chính chủ.",14.27
161,147.1,4,3,3.3,Bắc,Quan_12,"Hẻm xe hơi đẹp, sổ hồng riêng, gần trường học và chợ.",15.21
162,187.4,6,2,9.5,Nam,Quan_Binh_Tan,"Villa cao cấp, sổ hồng lâu dài, vị trí trung tâm, đẳng cấp, nội thất cao cấp.",19.21
163,169.1,1,3,6.0,Bắc,Huyen_Binh_Chanh,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ, nội thất cao cấp.",6.9
164,159.5,1,4,3.4,Nam,Quan_Thu_Duc,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",13.01
