id,Dien_tich,So_phong,Vi_tri,Noi_dung_mo_ta,Gia_ty_vnd
103,78.2,4,Quan_11,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nội thất cao cấp.",12.24
104,220.3,3,Quan_2,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, sổ hồng chính chủ.",61.23
105,205.1,8,Quan_Go_Vap,"Villa cao cấp, sổ hồng lâu dài, vị trí trung tâm, đẳng cấp, nội thất cao cấp.",30.68
106,254.5,7,Quan_11,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nở hậu.",33.02
107,105.5,3,Quan_6,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh.",11.74
108,135.6,1,Quan_3,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, nở hậu, sổ đỏ, nội thất cao cấp.",43.37
109,30.6,4,Quan_3,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nở hậu.",8.15
110,57.7,8,Quan_3,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, nở hậu, sổ hồng chính chủ, nội thất cao cấp.",21.55
111,45.0,1,Quan_Binh_Thanh,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, nở hậu, nội thất cao cấp.",7.47
112,64.4,6,Quan_12,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện, sổ hồng chính chủ.",5.89
113,35.9,4,Quan_Go_Vap,"Mặt tiền đường rộng, ô tô vào tận nhà, sổ hồng chính chủ, nở hậu, nội thất cao cấp.",6.6
114,279.3,1,Quan_Binh_Thanh,"Hẻm xe hơi rộng rãi, nở hậu, phong thủy tốt, gần tiện ích, sổ hồng chính chủ.",45.96
115,133.4,5,Quan_Binh_Tan,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, sổ hồng chính chủ.",9.16
116,202.8,7,Quan_Go_Vap,"Biệt thự nghỉ dưỡng, hồ bơi riêng, sân thượng view thoáng, sổ hồng, nội thất cao cấp.",33.05
117,47.1,7,Quan_2,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu.",10.9
118,305.1,1,Quan_Tan_Binh,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay.",34.78
119,32.6,3,Quan_4,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu, sổ hồng chính chủ.",5.32
120,276.6,8,Quan_5,"Nhà phố biệt lập, nội thất nhập khẩu, hầm xe 2 ô tô, nội thất cao cấp.",74.18
121,276.2,3,Quan_11,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu, sổ hồng chính chủ, nội thất cao cấp.",37.22
122,44.4,7,Quan_3,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",10.83
123,126.6,3,Quan_Thu_Duc,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay.",12.63
124,304.5,5,Quan_Binh_Thanh,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, nở hậu, sổ hồng chính chủ.",41.51
125,237.6,6,Huyen_Hoc_Mon,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, nở hậu, sổ hồng chính chủ.",8.95
126,110.5,5,Huyen_Binh_Chanh,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu, sổ đỏ, nội thất cao cấp.",5.7
127,241.6,6,Quan_12,"Mặt tiền đường rộng, ô tô vào tận nhà, sổ hồng chính chủ, nội thất cao cấp.",28.71
128,279.9,7,Quan_Tan_Binh,"Biệt thự phong cách Địa Trung Hải, nở hậu sinh tài lộc, nội thất cao cấp, sổ đỏ.",58.35
129,172.1,5,Quan_Go_Vap,"Nhà mặt tiền, thuận tiện buôn bán, nội thất cao cấp, sổ hồng.",26.58
130,109.3,1,Quan_Binh_Tan,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư.",6.63
131,46.7,8,Quan_11,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, nở hậu.",8.64
132,83.7,7,Quan_5,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, sổ hồng chính chủ.",20.25
133,72.9,5,Quan_12,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, sổ hồng chính chủ.",7.67
134,115.8,1,Huyen_Nha_Be,"Bán nhà hẻm xe hơi 5m, nở hậu, sổ hồng chính chủ.",6.3
135,253.5,7,Huyen_Hoc_Mon,"Biệt thự mini, nội thất cao cấp, hồ bơi riêng, an ninh 24/7, sổ đỏ.",13.52
136,146.1,8,Quan_7,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nở hậu.",30.35
137,126.0,6,Huyen_Binh_Chanh,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát, nở hậu.",7.05
138,232.9,8,Quan_11,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu, sổ đỏ.",32.35
139,110.7,5,Quan_5,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay.",22.66
140,206.6,4,Quan_4,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, sổ hồng chính chủ, nội thất cao cấp.",33.2
141,145.0,8,Quan_6,"Bán nhà hẻm xe hơi 5m, nở hậu, sổ hồng chính chủ, sổ đỏ.",18.76
142,294.4,3,Quan_2,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát, sổ đỏ.",69.46
143,27.7,2,Quan_2,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, sổ hồng chính chủ.",7.4
144,240.7,5,Quan_6,"Mặt tiền kinh doanh, kết hợp ở trên cho thuê dưới, thu nhập ổn định, sổ hồng chính chủ, nội thất cao cấp.",44.19
145,121.7,7,Quan_Thu_Duc,"Hẻm xe hơi đẹp, sổ hồng riêng, gần trường học và chợ.",12.39
146,238.3,1,Huyen_Nha_Be,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, sổ hồng chính chủ.",13.61
147,228.6,5,Quan_11,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",27.6
148,249.7,2,Quan_7,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, sổ hồng chính chủ, nội thất cao cấp.",50.55
149,59.3,4,Quan_Go_Vap,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, nở hậu, sổ đỏ, nội thất cao cấp.",6.95
150,100.1,1,Quan_Tan_Binh,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ, nội thất cao cấp.",14.67
151,250.9,7,Quan_5,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, nở hậu.",47.99
152,181.0,4,Quan_Tan_Binh,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư.",22.93
153,80.6,2,Quan_10,"Bán nhà mặt tiền đường lớn, vị trí đắc địa kinh doanh sầm uất, nội thất cao cấp.",19.31
154,97.2,1,Quan_2,"Hẻm ô tô, sổ hồng chính chủ, nội thất đầy đủ, ở ngay, nội thất cao cấp.",30.35
155,94.9,3,Quan_12,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, nở hậu, sổ hồng chính chủ.",9.36
156,302.8,7,Quan_Binh_Thanh,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, sổ hồng chính chủ.",38.68
157,294.8,7,Quan_Go_Vap,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, nở hậu, sổ hồng chính chủ.",35.03
158,202.9,2,Huyen_Hoc_Mon,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",6.6
159,308.8,2,Quan_7,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát.",48.53
160,216.4,5,Huyen_Binh_Chanh,"Biệt thự mini, nội thất cao cấp, hồ bơi riêng, an ninh 24/7, sổ hồng chính chủ.",14.27
161,147.1,4,Quan_12,"Hẻm xe hơi đẹp, sổ hồng riêng, gần trường học và chợ.",15.21
162,187.4,6,Quan_Binh_Tan,"Villa cao cấp, sổ hồng lâu dài, vị trí trung tâm, đẳng cấp, nội thất cao cấp.",19.21
163,169.1,1,Huyen_Binh_Chanh,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ, nội thất cao cấp.",6.9
164,159.5,1,Quan_Thu_Duc,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",13.01
165,313.4,1,Huyen_Binh_Chanh,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ, nội thất cao cấp.",13.17
166,48.3,7,Quan_Tan_Binh,"Hẻm xe hơi rộng rãi, nở hậu, phong thủy tốt, gần tiện ích, sổ đỏ, nội thất cao cấp.",9.19
167,212.8,3,Quan_2,"Bán nhà mặt tiền đường lớn, vị trí đắc địa kinh doanh sầm uất, nội thất cao cấp.",84.29
168,165.3,1,Huyen_Nha_Be,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát.",8.1
169,299.0,5,Quan_Tan_Binh,"Villa cao cấp, sổ hồng lâu dài, vị trí trung tâm, đẳng cấp, nội thất cao cấp.",64.93
170,172.7,6,Quan_3,"Nhà phố biệt lập, nội thất nhập khẩu, hầm xe 2 ô tô, sổ hồng chính chủ, nội thất cao cấp.",67.87
171,256.1,8,Quan_10,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ.",39.64
172,70.5,3,Quan_10,"Hẻm xe hơi đẹp, sổ hồng riêng, gần trường học và chợ, nở hậu.",15.2
173,145.4,1,Quan_Thu_Duc,"Mặt tiền đường rộng, ô tô vào tận nhà, sổ hồng chính chủ, nội thất cao cấp.",20.14
174,292.0,4,Huyen_Binh_Chanh,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, nở hậu, sổ hồng chính chủ.",15.75
175,99.3,4,Quan_Binh_Thanh,"Nhà hẻm nhỏ, tiện đi lại, sổ đỏ chính chủ, giá hợp lý, sổ hồng chính chủ, nội thất cao cấp.",16.49
176,152.0,3,Quan_12,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nở hậu.",12.69
177,121.1,5,Quan_8,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay, sổ hồng chính chủ.",11.13
178,154.3,5,Quan_7,"Nhà mặt tiền, thuận tiện buôn bán, nội thất cao cấp, sổ hồng.",43.52
179,46.8,8,Quan_Tan_Binh,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng, nội thất cao cấp.",8.84
180,251.8,6,Quan_4,"Biệt thự nghỉ dưỡng, hồ bơi riêng, sân thượng view thoáng, sổ hồng, nội thất cao cấp.",56.67
181,54.1,4,Quan_1,"Hẻm xe máy thông, gần chợ, trường học, giá tốt đầu tư, sổ hồng chính chủ.",15.89
182,167.4,5,Quan_1,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, sổ đỏ.",54.93
183,119.1,5,Quan_Go_Vap,"Bán nhà mặt tiền đường lớn, vị trí đắc địa kinh doanh sầm uất, sổ đỏ, nội thất cao cấp.",17.44
184,187.8,6,Quan_6,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, nở hậu, sổ hồng chính chủ.",26.17
185,232.9,4,Quan_1,"Nhà trong hẻm, yên tĩnh, phù hợp ở gia đình, sổ hồng.",61.15
186,180.7,6,Quan_Binh_Tan,"Nhà hẻm thông thoáng, an ninh tốt, gần chợ và bệnh viện, sổ hồng chính chủ.",13.04
187,117.4,4,Quan_5,"Bán nhà hẻm xe hơi 4m, ô tô vào nhà, khu yên tĩnh, nội thất cao cấp.",29.19
188,188.7,8,Quan_6,"Biệt thự phong cách Địa Trung Hải, nở hậu sinh tài lộc, nội thất cao cấp, sổ hồng chính chủ.",29.05
189,174.1,8,Huyen_Binh_Chanh,"Hẻm ba gác, gần trục đường lớn, sổ hồng, thiết kế thoáng mát, nở hậu.",8.05
190,187.2,2,Quan_Binh_Tan,"Bán nhà hẻm xe hơi 5m, nở hậu, sổ hồng chính chủ.",16.3
191,112.8,1,Quan_8,"Nhà hẻm xe hơi thông thoáng, ô tô vào tận nhà, khu an ninh, sổ đỏ.",11.98
192,211.7,3,Huyen_Hoc_Mon,"Bán nhà hẻm, sổ đỏ chính chủ, nhà mới sơn, ở ngay.",7.63
